Group Name,Ward,Total Member Count,Total_Members_Paid,Total_Amount_Paid
SHALOM,Central Kanyamkago,33,1,100
SHALOM,Kabondo West,33,9,2600
SHALOM,North Alego,33,1,301
SHALOM,South Kanyamkago,33,1,100
SHALOM,South Kasipul,33,3,300
SHALOM,Ugunja,33,5,801
SHALOM B,North Ugenya,21,6,700
SHALOM B,West Alego,21,3,300
SHALOM RAILA,Mugumu-Ini,27,3,300
SHALOM RANDAGO,South East Alego,8,2,200
SHALOM SHG,Kanyaluo,15,1,100
SHALOM UHOLA,North Ugenya,5,2,200
SHALOM UMINA UMALA,Ugunja,1,1,200
SHALOM WELFARE,North Ugenya,13,7,1000
SHALOM WOMEN A,East Gem,17,9,1000
SHARKEL,Riruta,15,3,500
SHAURI YAKO CCA CHURCH,Homa Bay Arujo,5,3,300
SHIDA,Gatina,6,1,200
SHIDA,South East Alego,6,2,200
SHIELD,Embakasi,8,2,200
SHIENYU NI SHIENU BAINGO UNITY,Makina,94,9,2600
SHIKAMANA SHG,Makina,32,2,400
SHIKOMI JET,Lindi,14,14,2800
SHINE KAYOLE,Kayole Central,2,1,100
SHINERS,Sigomere,7,2,200
SHINERS GROUP,South Gem,11,3,400
SHINERS GROUP ,Ukwala,6,5,1500
SHING JOY KUDHO,South Uyoma,5,3,300
SHINING LADIES,Lindi,46,10,1220
SHINING STAR,Lindi,11,2,300
SHINING STAR 1,Kangemi,13,7,1500
SHINNING,Kabuoch North,2,1,100
SHINNING AMREF ,Laini Saba,17,10,1600
SHOFCO ADULT,Kiambere,17,6,800
SHOFCO EAGLE  B,Laini Saba,24,5,500
SHOFCO EAGLES A,Laini Saba,30,9,2100
SHOFCO LUANDA,East Ugenya,3,1,100
SHOFCO SOCCER,Laini Saba,57,6,1800
SHOFO KODERO,Central Kamagambo,4,3,700
SHOLDER,Ugunja,3,2,300
SHOSHWE SHG,Sarang'ombe,31,11,3400
SHUGHULIKA NA YAKO,North Alego,7,5,600
SHUGHULIKA NA YAKO B,North Alego,3,1,300
SIALA,Homa Bay Central,1,1,101
SIALA A WOMEN,God Jope,1,1,100
SIALA BEACH,Central Karachuonyo,1,1,100
SIALA C WOMEN,God Jope,4,2,200
SIALA DIGITAL,Central Kamagambo,4,2,400
SIALA MOYIE SHG,South Gem,10,1,200
SIANY A,South Gem,5,1,100
SIANY WOMEN,God Jope,12,6,600
SIAYA  COMM  LIBRARY,Siaya Township,14,4,600
SIAYA CBO,Sarang'ombe,9,1,100
SIAYA HOSPITAL VIEW,Siaya Township,3,3,400
SIAYA SOLAR WOMEN,Siaya Township,10,8,800
SIAYA STAR,Kabondo West,18,10,2200
SIAYA VISION SHG,Siaya Township,5,1,100
SIBUOCHE,Wiga,4,2,300
SIDEWALK,Huruma,11,9,900
SIDIMBA MUUNGANO A,Yala Township,7,7,700
SIDIMBA MUUNGANO B,Yala Township,7,5,500
SIEMBA,Central Sakwa,3,3,300
SIFUYO CHVS,North Ugenya,2,2,300
SIFUYO GENERAL,North Ugenya,6,6,700
SIFUYO PAR DAKNI,North Ugenya,5,4,400
SIG. HOPE SHINERS,Sigomere,2,1,200
SIGIRA BARUBARU,South Kanyamkago,4,4,500
SIGOMA MANGA FARMERS,West Alego,2,2,200
SIGOMA UJWANGA,West Alego,4,1,300
SIGOMA UKUDI,West Alego,7,5,500
SIGOMERE KINGS,Sigomere,4,2,200
SIGUNA B,Central Alego,7,1,100
SIHAY VILLAGE GROUP,East Ugenya,6,3,500
SIKALA MOYIE,Ugunja,1,1,100
SIKALA MOYIE B.,Ugunja,2,2,200
SIKALA MOYIE C.,Ugunja,6,3,300
SIKALAME WOMEN,Sidindi,5,3,500
SIKISA SHG,Central Sakwa,5,1,100
SILC UPENDO,North Ugenya,3,3,300
SILICON SAVANNA,Riruta,12,5,1700
SILVER,South Gem,18,1,100
SILVER,Woodley,18,3,1700
SILVERPEARL ,Huruma,12,8,900
SIMAMA WOMEN A,Central Sakwa,6,3,500
SIMAMA WOMEN C,Central Sakwa,2,1,100
SIMBA,Makina,48,3,500
SIMBA MON,West Alego,11,8,1000
SIMBA MON 2,West Alego,5,4,500
SIMBA MON MOYIE,West Alego,3,1,200
SIMBA MON UNITED,West Alego,7,3,300
SIMENYA RIURUOK,Sidindi,5,5,500
SIMERRO DHIER OK YOMB,Sidindi,3,2,200
SIMERRO DHIER OKYOMB,Ugunja,1,1,100
SIMERRO MOYIE,Sidindi,4,4,400
SIMOI,Ng'ando,11,8,800
SINA BUORA SHG,East Ugenya,16,1,200
SINANA,Siaya Township,7,2,200
SINANGI NYABER,Homa Bay East,1,1,100
SINANI E TEKO,North Ugenya,7,3,500
SINANI E TEKO B,North Ugenya,5,3,400
SINANI E TEKO C,North Ugenya,3,2,400
SINDHO WELFARE,West Yimbo,8,2,300
SINOGO,Homa Bay Central,6,2,200
SINOGO 1,Homa Bay East,3,1,100
SINOGO 4,Homa Bay Central,3,1,100
SIRABO,Sigomere,7,7,700
SIRANGA,Huruma,6,3,300
SIRANGA WOMEN,Ukwala,9,6,600
SIRENDE  RUWE B.,Sidindi,10,9,900
SIRI,Central Alego,2,2,300
SIRI B,Central Alego,1,1,200
SIRI WOMEN GROUP,Central Sakwa,8,4,401
SIRI YA JIKONI,Lindi,8,3,500
SIRIMBA WELFARE,Usonga,10,9,901
SIRINDE TEMKARI,West Alego,7,2,200
SIRINDE TOWNSHIP,West Alego,7,5,500
SIRUNGA B WOMEN GROUP,Central Gem,5,3,1000
SIRUNGA WOMEN,North Gem,3,1,200
SIRUTI HIGHLIGHTS,West Sakwa,3,3,300
SISI KWA SISI,Ukwala,21,3,400
SISI KWA SISI,Yimbo East,21,11,1620
SISTERS,Homa Bay Central,7,3,400
SISTERS DEVELOPMENT,Ragana Oruba,6,1,100
SISTERS DEVELOPMENT,Ragana-Oruba,6,3,300
SISTERS IN CHRIST,Huruma,6,6,600
SISTERS OF HOPE,West Gem,1,1,100
SIWANDHE A FARMERS,North Alego,1,1,100
SIWANGA NYAMLOWA,Siaya Township,5,2,1100
SIWANGA NYAMLOWA,South East Alego,5,1,100
SIWAR MOYIE,Ugunja,7,4,400
SIWAR MOYIE ,Ugunja,1,1,200
SIX STARS,West Sakwa,3,2,200
SKALA MOYIE,Ugunja,1,1,100
SKIZA WOMEN,North Uyoma,7,6,700
SKY,North Kamagambo,3,3,300
SKY FM GOD NYITHINDO,Muhoroni/Koru,3,1,100
SLUMLIGHT,Sarang'ombe,45,23,4500
SMALL GROUP A,East Asembo,9,4,600
SMALL GROUP A,West Asembo,9,1,100
SMALL TRADERS,Ugunja,2,1,500
SMART CHIC,Huruma,9,4,800
SMART FARMERS A,West Gem,4,1,100
SMART JESHI,Maringo/Hamza,8,3,1400
SMART LADIES,Central Kamagambo,62,1,100
SMART LADIES,Central Kanyamkago,62,2,200
SMART LADIES,Kabondo West,62,5,700
SMART LADIES,Kanyamwa Kosewe,62,1,100
SMART LADIES,North Gem,62,1,100
SMART LADIES,South Sakwa,62,4,400
SMART LADIES,Ugunja,62,5,500
SMART LADIES,West Sakwa,62,7,900
SMART LADIES,Yala Township,62,6,600
SMART LADIES @50,Laini Saba,61,5,700
SMART LADIES MASHIMONI,Laini Saba,145,10,1400
SMART ONES WG,Wasweta Ii,5,1,100
SMART SISTERS,Ahero,10,1,1
SMART SISTERS A,Central Sakwa,7,6,700
SMART SISTERS A NYANGOMA,South Sakwa,1,1,100
SMART SISTERS B,Central Sakwa,13,8,2100
SMART TEAM,Central Sakwa,14,4,400
SMART TEAM,North Gem,14,2,200
SMART TEAM 8,North Gem,7,7,700
SMART TEAM A,North Gem,5,2,200
SMART TEAM B,North Gem,6,5,500
SMART TEAM C,North Gem,5,2,300
SMART TEAM D,North Gem,3,2,200
SMART TEAM E,North Gem,8,4,800
SMART TEAM F,North Gem,4,3,500
SMART TEAM G,North Gem,4,3,500
SMART VIEW,Lindi,12,3,300
SMART VISION,North Ugenya,6,5,600
SOCIAL,Woodley,14,3,500
SOFTPAD A,Kwa,2,1,100
SOFTPAD B,Kwa,4,2,200
SOFTPAD C,Kwa,2,2,200
SOGO SHG,Central Alego,8,1,120
SOKIKA,Makina,37,18,7700
SOKLO SHG,Kanyaluo,6,1,100
SOKLO SHG,Mfangano Island,6,1,100
SOKO GROUP,East Asembo,10,4,400
SOKO K,Central Kasipul,5,2,200
SOKO KANYAM,West Kasipul,12,12,1700
SOKO MAR GENO,Central Sakwa,3,2,200
SOLID SISTERS,Makina,17,4,1001
SOLUTION SEEKERS,Nyayo Highrise,10,4,400
SOMINA,Yimbo East,9,7,900
SOMO BER,Siaya Township,4,1,100
SOMO BER,Usonga,4,1,100
SOMO EN LER,East Ugenya,4,1,100
SOMO EN LER B,East Ugenya,4,2,300
SONGA MBELE,South Gem,12,4,800
SORI FRIENDS,Kachieng,6,1,100
SORORE YOUTH,Makerero,2,1,100
SOUTH EAST ALEGO WGRP,South East Alego,7,6,600
SOUTH WARD SHG,Ngei,6,1,100
SOUTH WEST KWABWAI CATTLE TRADERS,Kwabwai,7,4,600
SOWETO EAST CBO,Mugumu-Ini,49,1,200
SOWETO EAST CBO,Nyayo Highrise,49,15,2400
SPORT LIGHT,Wangchieng,3,1,100
SPRING ,Matopeni/Spring Valley,10,7,700
SPRINGS OF WISDOM,Sarang'ombe,12,5,900
ST ABRAHAM CCH,Wangchieng,11,4,1470
ST ANGELINE,North Sakwa,13,8,900
ST ANN NYANDIWA,West Alego,3,2,300
ST ANN SHG,Kanyamwa Kosewe,3,2,200
ST ANTONY B,Kangemi,1,1,300
ST BENARD KAGUMO,West Alego,4,3,1400
ST CATHERINE DEV GROUP,West Sakwa,8,4,500
ST CECELIA  CHOIR,Siaya Township,2,2,200
ST PATRICK,Kayole South,9,6,800
ST SAMSON MOTHERS,South Sakwa,4,4,400
ST. ABRAHAM,Yimbo East,2,1,300
ST. ANNE NYANDIMA,West Alego,1,1,101
ST. JOSEPH MAGOMBE,Usonga,9,7,2200
ST. MARTIN,North Ugenya,3,1,100
ST. MARTIN,Ukwala,3,2,600
ST. MARY WOMEN GROUP,East Ugenya,8,6,600
ST. PAUL,Sarang'ombe,21,5,1600
ST.MONICA WIDOWS B,West Ugenya,3,2,300
STAMILA,Central Kamagambo,3,1,100
STAND TOGETHER,Huruma,10,8,800
STAR & SHINE,South Gem,7,4,400
STAR A,West Uyoma,2,1,600
STAR B KAGWA,West Uyoma,2,1,100
STAR GROUP,Kanyamwa Kosewe,4,3,300
STAR JUNIOR,North Uyoma,9,7,1400
STAR LIGHT,Wangchieng,2,2,200
STAR LIGHT KAGWA,West Uyoma,5,4,400
STAR OF THE LAKE A,Yimbo East,7,4,1100
STAR SURPRISE,Sigomere,3,2,200
STARS ALIVE,Sigomere,5,3,300
STAY SAFE 2020,Makina,25,4,400
STEP AHEAD ,West Asembo,6,5,1800
STEPPING LADDER,Riruta,2,1,100
STRENGTH OF A WOMAN ,Lucky Summer,20,19,23700
STRESS KENDO,South Uyoma,7,5,500
STRONG LADIES,West Asembo,11,1,100
STRONG MEN,South Uyoma,6,6,600
SUALO B,South Gem,14,3,300
SUBA LADIES,East Kamagambo,4,3,300
SUBA LER BER,West Uyoma,4,1,100
SUCCEED LEADERS,Huruma,9,1,300
SUCCESS TOGETHER,East Kamagak,5,2,300
SUCCESS WOMEN ,Imara Daima,7,1,100
SUKA GREEN,Central Kanyamkago,5,2,200
SUKA GREEN,East Kanyamkago,5,1,100
SUKUMA MAISHA,Ugunja,5,1,100
SULWE MARIWA B,East Gem,3,1,200
SULWE RIENY,North Ugenya,11,8,900
SULWE SHINNERS,Kobura,6,1,1
SULWE WOMEN,Central Alego,16,8,1000
SULWE WOMEN,South Sakwa,16,4,500
SUMBA INTERGRATED,Usonga,5,1,100
SUMBA PWD,Usonga,2,1,100
SUN FLOWER WOMEN,West Sakwa,8,5,500
SUNA CENTRAL KAKRAO,Kakrao,5,1,200
SUNA LADIES,Suna Central,3,1,100
SUNA LADIES 2,Suna Central,10,6,800
SUNA SELF HELP GROUP,Sarang'ombe,22,10,3500
SUNFLOWER,West Yimbo,12,6,700
SUNLIGHT WOMEN GROUP,Sarang'ombe,24,17,2300
SUNRISE,West Uyoma,7,1,100
SUNRISE SHG,North Alego,6,3,300
SUNSET A,Huruma,3,3,400
SUNSHINE,Gatina,57,7,900
SUNSHINE,Huruma,57,3,500
SUNSHINE,Laini Saba,57,2,200
SUNSHINE,West Uyoma,57,1,100
SUNSHINE B,West Asembo,11,1,100
SUNSHINE B,West Uyoma,11,1,100
SUNSHINE LADIES,Hospital,16,2,700
SUNSHINE SHG,North Sakwa,5,1,100
SUNSHINE SOUTHLAND SHG,Mugumu-Ini,14,1,300
SUNSHINE UPENDO,Dandora Area Iv,33,5,700
SUPER BARAKA A.,Sigomere,4,1,100
SUPER BARAKA B.,Sigomere,2,2,300
SUPER CENTER,West Yimbo,10,6,600
SUPER LADIES,Laini Saba,90,36,7100
SUPER LADIES,Pumwani,90,5,500
SUPER LADIES,Ugunja,90,3,300
SUPER MAMAS,East Kamagak,10,4,900
SURGEON GROUP,Mwiki,6,2,300
SUSTAINABLE ,Kayole Central,7,4,600
SUSTAINABLE GROUP,Laini Saba,46,27,3000
SUYA WOMEN,South Gem,5,2,200
SWEAT TO SWEET B,Central Gem,4,2,200
SWEET MELON A,South Uyoma,8,4,400
SWEET POTATOES WOMEN,East Ugenya,6,3,300
SWEETIE SHG,Yala Township,8,2,200
SWEETY SHG,Laini Saba,37,6,1200
SWEETY SHG,Woodley,37,20,4200
SWEETY WOMEN GROUP ,Central Alego,1,1,100
SWINI WOMEN GROUP,Siaya Township,4,2,700
Saba saba,Kayole Central,19,15,1500
Sacred Heart,Imara Daima,6,2,600
Safe Net,Dandora Area Ii,16,4,600
Sagangwo,Kabiro,19,8,900
Saidia B,Imara Daima,12,3,400
Saidia C,Imara Daima,14,8,800
Saidia New Generation ,Imara Daima,6,2,600
Samaki,Kabiro,8,2,200
Samaritan B,Dandora Area Iv,8,7,900
Samaritan Empowered ,Dandora Area Iv,1,1,100
Samsung ,Kwa Reuben,8,5,500
Sana Sana,Kwa Reuben,9,4,400
Sanday mother's,Kiamaiko,2,1,100
Sandford ,Nairobi South,6,4,400
Sango SHG,Kangemi,31,22,2400
Sanitize Women Group,Mlango Kubwa,14,1,100
Sanitizer,Viwandani,6,5,700
Sarakasi Welfare ,Lucky Summer,15,1,100
Satelite riverbank,Komarock,10,4,500
Sauti Moja,Lower Savannah,36,6,1700
Sauti Moja B,Lower Savannah,4,2,600
Sauti Moja B,Ngei,4,1,100
Savannah Dynamic ,Lower Savannah,13,11,1100
Scheme Sisters,Ngara,15,3,500
Seed of Peace ,Korogocho,17,7,1200
Seed of love A,Maringo/Hamza,19,10,1300
Seed of love B,Makongeni,17,5,600
Seed of love B,Maringo/Hamza,17,5,700
Segetana,Kwa Reuben,9,4,500
Semos,Kabondo East,7,7,900
Senende ,Gatina,7,3,700
Seniors Women,Korogocho,12,9,900
Set up group ,Nairobi South,4,1,100
Seven Star Ladies ,Ziwani/Kariokor,12,3,400
Sewage ,Imara Daima,9,6,700
Sewage Joint,California,8,5,500
Shadow B,West Yimbo,14,11,4700
Shafma SHG,Mowlem,49,29,7200
Shafma self help group,Mowlem,1,1,100
Shakina glory ,Kabiro,19,4,400
Shallom ,Mountain View,14,10,1200
Shallom SHG,Nyayo Highrise,11,3,300
Shalom,Eastleigh South,63,5,500
Shalom,Githurai,63,16,1900
Shalom,Komarock,63,2,200
Shalom,Nairobi South,63,7,700
Shalom,Roysambu,63,2,400
Shalom,Zimmerman,63,1,100
Shalom Mucc Kariadudu ,Baba Dogo,9,1,200
Shalom Riara ,Imara Daima,29,13,1300
Shalom SHG,Mowlem,3,1,100
Shalom shg,Nyayo Highrise,8,5,800
Shamakhokho,Gatina,25,17,1700
Shambe B,Gatina,64,29,3000
Shambe C,Gatina,2,2,200
Shambe Group ,Gatina,4,1,100
Shambe Women,Gatina,31,6,800
Shamiri group,Kwa Njenga,6,2,200
Shammah ,Baba Dogo,8,2,500
Shangilia,Lower Savannah,15,9,1700
Shangilia United,Dandora Area Iv,14,1,300
Shauri Kithimani SHG,Lower Savannah,7,5,500
Shauri Yako,Korogocho,25,2,200
Shaurimoyo wako,Maringo/Hamza,24,7,700
Shaurimoyo wako B,Maringo/Hamza,21,2,200
Shaurimoyo women,Maringo/Hamza,32,14,2100
Shekaniah group ,Mwiki,2,2,600
Shepherd A,Dandora Area I,9,1,100
Shepherd A,Dandora Area Ii,9,1,100
Shepherd B,Dandora Area Ii,7,3,400
Shepherd C ,Dandora Area Ii,8,2,200
Shida SHG ,Gatina,8,3,500
Shilo SHG,Kariobangi North,14,8,1900
Shimo Success,Nairobi South,4,3,1100
Shine And Grow ,Imara Daima,7,5,900
Shine SHG,Mugumu-Ini,11,1,100
Shine soweto,Kayole Central,3,1,100
Shine up,Eastleigh South,29,14,1500
Shine zoom,Nairobi South,10,5,700
Shine zoom B ,Nairobi South,10,6,1000
Shiners ,Nairobi South,6,4,500
Shining Group,Korogocho,43,4,400
Shining Hope,Utalii,9,1,100
Shining Power,Imara Daima,10,3,500
Shining Star ,Kwa Njenga,15,15,1600
Shining Women Empowerment ,Hospital,12,3,700
Shining mothers,Eastleigh South,3,1,100
Shining star 2,Eastleigh South,5,4,400
Shinners,Airbase,15,4,500
Shinners  SHG,Kwa Reuben,6,5,500
Shinners Heshitari,Dandora Area I,15,8,800
Shinning Hope ,Imara Daima,14,13,1300
Shinning hope 48,Kwa Njenga,7,6,1600
Shinning mothers,Eastleigh South,1,1,100
Shirikisho SHG,Kwa Reuben,8,4,500
Shiva Aggy's,Nyayo Highrise,12,4,500
Shoe shine women group,Kariobangi North,13,1,100
Shofco Adult  S.h.g,Sarang'ombe,2,2,200
Shofco Exodus,Nyayo Highrise,27,13,1300
Shofco Gikomba,California,1,1,100
Shofco Highschool ,Ngei,3,1,200
Shofco Mathare FC,Ngei,5,4,400
Shofco Queens,Harambee,16,4,700
Shofco woman Ambassador,Kwa Njenga,3,2,200
Shofco_tests,Sarang'ombe,15,1,200
Shomiki,Ngei,9,5,500
Short Sreet ,Kwa Reuben,10,5,500
Showers of blessings ,Kware,11,11,2100
Siany  SGP ,Got Kachola,1,1,300
Siany SGP ,Got Kachola,7,5,1500
Siaya Development Group ,Korogocho,14,1,200
Siaya Mayawa,Nyayo Highrise,16,11,1200
Siaya kababa,Lucky Summer,6,4,1000
Siaya kababa,Sarang'ombe,6,1,200
Siblings of Sarah ,Kware,16,5,500
Side Walk,Kwa Reuben,3,1,100
Siefwe SHG,Nyayo Highrise,25,11,1700
Sifa Women,Gatina,26,17,2300
Sikio Women  SHG,Kabiro,9,1,100
Silicone Friends ,Nairobi South,14,5,900
Silpado SHG,Nyayo Highrise,27,1,100
Silver ,Nairobi South,5,1,600
Silver Stone ,Kayole North,7,1,100
Silvershine ,Gatina,15,4,400
Simba ,Imara Daima,9,6,800
Simba Stage 2,Gatina,28,12,1800
Sina Chuki,Utalii,6,4,600
Sinai Ghetto shiners ,Viwandani,2,1,100
Singira khukhonyane ,Gatina,10,2,300
Siranga Group,Kwa Reuben,1,1,100
Sisal Friends ,Kwa Njenga,7,2,400
Sisi ni Wale ,Kware,7,6,600
Sister Hood ,Mugumu-Ini,9,5,500
Sisterhood Pipeline ,Pipeline,20,11,1500
Sisters Delight SHG,Mlango Kubwa,11,5,500
Sky SHG,Nairobi South,9,4,400
Sky group ,Dandora Area Iv,9,8,800
Skylight,Mowlem,14,1,100
Skyline ,Viwandani,6,6,600
Slay Ladies ,Utalii,10,2,200
Sloam,Kabiro,19,7,1400
Small Junior,Pumwani,4,3,500
Smart Future,Njiru,6,3,300
Smart Jeshy,Ngara,4,1,100
Smart Ladies,California,37,3,300
Smart Ladies,Korogocho,37,5,600
Smart Mothers  shg,Roysambu,2,2,400
Smart Neighbour ,Mugumu-Ini,5,2,200
Smart SHG,Korogocho,5,3,400
Smart brains ,Umoja Ii,4,1,100
Smart laddies,Wasimbete,9,7,700
Smart ladies @ 50,Sarang'ombe,15,14,1400
Smartten,Makina,17,14,1400
Soft Family ,Nairobi South,17,10,1000
Soft Family B,Nairobi South,18,12,2200
Sogora,Hospital,19,8,800
Sogora,Ngei,19,2,200
Solid Rock S.H.G,Laini Saba,7,7,2100
Songa mbele,Umoja Ii,8,5,600
Songamawe,Mountain View,24,17,1800
Songambele A,Maringo/Hamza,32,8,1500
Songambele B,Maringo/Hamza,16,2,200
Songambele C,Maringo/Hamza,19,1,200
Sonic sisters 44 B,Githurai,7,6,700
Sori metro,Kachieng,2,1,300
Sori peace group,Kachieng,9,1,300
Source of The River ,Nairobi South,4,4,800
South B,Eastleigh South,3,2,200
Southland Tetrapark,Viwandani,7,4,500
Soweto B Silanga,Nyayo Highrise,7,4,400
Soweto Highrise,Nyayo Highrise,43,5,600
Soweto Neema,Sarang'ombe,12,4,600
Spiritual Fellowship,Gatina,16,15,3000
Splash ,Pipeline,9,7,1100
St John's,Pumwani,16,7,900
St John's  C.W.A,Korogocho,16,14,2000
St Monica 1,Baba Dogo,10,4,600
St Monica 2,Baba Dogo,8,2,300
St augustine,Eastleigh South,6,3,300
St. Antony ,Kangemi,21,13,1400
St. Antony B,Kangemi,11,6,600
St. Michael ,Viwandani,5,2,400
Stage 24 SHG,Korogocho,3,1,200
Stage Kwa Mbao,Pumwani,14,7,700
Stand Firm 44,Githurai,8,1,100
Star,Lower Savannah,19,8,1700
Star Shinners ,Kwa Njenga,14,11,1400
Star X Lumumba,Harambee,17,6,900
Star group,Pipeline,15,3,300
Star kinyago,California,7,5,500
Star's of hope SHG,Kariobangi North,11,6,600
Starlight Women SHG,Kariobangi North,24,10,1200
Starline Hopefully,Mathare North,10,7,900
Stars in Disabilities ,Githurai,8,1,100
Starshine Agwambo,Lindi,19,2,300
Step All ,Mountain View,16,5,800
Step One SHG,Kwa Njenga,12,8,5800
Step by step,California,18,2,200
Step in,Mountain View,14,6,700
Step up,California,11,4,400
Strengthen,Eastleigh South,5,1,100
Strong Ladies,Githurai,6,1,100
Strong Ladies,Roysambu,6,1,100
Strong Ladies ,Mountain View,13,12,1200
Strong Vision,Nairobi South,15,4,500
Strong Women Pipeline ,Kware,22,1,100
Strong Women Pipeline ,Pipeline,22,18,2300
Subira,Mwiki,12,8,800
Success,Utalii,8,3,400
Success ladies,Eastleigh South,6,3,300
Sukuma,Mountain View,26,5,500
Sukuma,Mugumu-Ini,26,1,100
Sun Moon,Nairobi South,11,5,600
Sun Moon B ,Nairobi South,17,3,400
Sun Moon C,Nairobi South,11,3,700
Sunday Mothers,Kiamaiko,9,4,600
Sunlight SHG,Kariobangi North,12,4,700
Sunrays,Baba Dogo,7,2,200
Sunrise Project ,Baba Dogo,11,5,1000
Sunshine,Airbase,6,1,200
Sunshine ,Clay City,1,1,300
Sunshine Group Githogoro,Karura,6,1,100
Sunshines,California,8,4,500
Super Heroes,Kileleshwa,7,7,700
Super Ladies ,Korogocho,5,1,100
Super stars,Dandora Area Iv,12,1,100
Super stars,Mowlem,12,2,300
Superstars,Utalii,5,1,100
Supper Stars,Korogocho,10,4,400
Surebet,Pumwani,5,4,600
Surrender SHG,Kware,5,3,300
Suswa,Karura,11,5,600
Suswa,Kwa Njenga,11,1,100
Suswa,Parklands/Highridge,11,2,300
Sw dandora dumping site ,Korogocho,6,4,800
Swat,Hospital,6,3,300
Sweet Foundation ,Maringo/Hamza,12,9,900
Sweet Mbotela Family,California,5,2,200
Sweet mbotela 4,California,18,9,900
Sweet mbotela 5,California,27,19,2100
Swep,Ngei,8,3,300
Synagogue,Mihango,8,6,600
TABLE TEA,Laini Saba,22,8,1300
TAHIDI,Siaya Township,19,8,1100
TANAYAPA,South Gem,6,2,200
TANDE STARS,West Alego,3,2,400
TANG  BER,Siaya Township,4,1,300
TANG BER,Ugunja,32,3,300
TANG BER,West Gem,32,3,300
TANG BER,Yimbo East,32,3,300
TANG BER A,East Asembo,16,7,700
TANG BER B,East Asembo,4,3,300
TANG BER B.,Ugunja,6,3,300
TANG BER C.,Ugunja,4,3,300
TANG BER SHG,Kanyamwa Kosewe,3,1,100
TANG BER UMALA,South East Alego,1,1,100
TANG BER WIDOWS,West Gem,7,4,600
TANG BER WOMEN,North Alego,13,6,600
TANG CHON,South Sakwa,14,5,500
TANG CHON,Ukwala,14,6,600
TANG CHON BER,East Asembo,44,5,500
TANG CHON BER,Kibiri,44,2,200
TANG CHON BER,North Kamagambo,44,1,300
TANG CHON BER,West Alego,44,4,500
TANG CHON BER,West Asembo,44,5,500
TANG CHON BER A,South Gem,7,3,300
TANG GI DHIER,North Kamagambo,14,5,600
TANG NE ANGE,West Asembo,2,1,100
TANG NE LEWI,East Gem,4,2,200
TANGNA ANGE,West Uyoma,5,4,401
TANGNA ANGE B,West Gem,14,2,200
TANGNA ANGE C,West Gem,10,6,700
TANGNANGE,West Yimbo,6,5,500
TANGNE ANGE,Central Sakwa,1,1,200
TANGNE ANGE A,West Asembo,6,4,500
TANGNE ANGE B,West Asembo,7,4,600
TANGNE ANGE SHG,Central Sakwa,13,8,1000
TANGNE ANGE WOMEN GROUP,Central Sakwa,3,2,200
TANGNI NYALO KONYI,North Kamagambo,3,3,700
TANG` BER WOMEN GROUP,West Sakwa,12,5,700
TATA,Ng'ando,9,7,900
TAUSI AMANI B,North Sakwa,3,1,100
TAUSI WOMAN GROUP,Yala Township,3,1,100
TAUSI WOMEN,North Ugenya,11,6,1100
TAWO BANANA,Siaya Township,8,4,400
TAZAMA MBELE,Ng'ando,9,9,900
TEAM DAHO,Ugunja,8,4,400
TEAM ELEVEN,North Kamagambo,5,1,100
TEAM SWEAT TO SWEET A,East Gem,4,2,200
TEAM WUOROYA,Ugunja,3,2,200
TEAMTEN,Gem West,1,1,200
TECNO GROUP,Lambwe,3,3,300
TEK TEE,South East Alego,6,3,500
TEK TEK TAA B,East Asembo,5,2,200
TEK TO TEM A,East Ugenya,10,4,400
TEKO,South Kamagambo,5,4,400
TEKRI WOMEN,East Kamagambo,2,1,100
TEM  ATEMA GROUP,Sarang'ombe,38,7,900
TEM ATEMA,Wangchieng,5,2,300
TEM ATEMA WOMEN,Central Alego,13,5,500
TEM INE WOMEN GROUP,North Alego,3,2,200
TEM KA DINYAL,West Alego,5,1,100
TEM KADINYAL,Ugunja,6,2,200
TEM KADINYAL B.,Ugunja,2,1,100
TEM KADINYAL D.,Ugunja,4,2,400
TEM KENDI WOMEN,Central Alego,5,2,200
TEM KENDO,South Uyoma,8,4,400
TEM KINYALO,North Ugenya,3,2,200
TEM KITALO,Kokwanyo/Kakelo,4,4,400
TEM MATEK,Ugunja,12,4,400
TEM ONE WOMEN GROUP,North Alego,1,1,100
TEMA TEMA B,West Alego,6,5,600
TEMBEA NA AMANI,East Ugenya,8,4,600
TEMBEA SIRA B FARMERS,Ugunja,4,2,200
TEMESHA,South East Alego,10,6,800
TEMO BER,Usonga,11,5,700
TEN GOOD SISTERS A,Yimbo East,5,5,500
TEN SISTERS,North Alego,35,3,400
TEN SISTERS,Siaya Township,35,6,600
TEN SISTERS,West Asembo,35,1,100
TEN SISTERS MARANDA,West Sakwa,12,9,900
TEN SISTERS ONGERE,North Sakwa,4,2,600
TEN STARS,West Sakwa,9,3,300
TENSMART,Kabondo East,4,2,200
THAGRUOK KELO RIEKO,East Ugenya,6,2,200
THARAGA BIDII 1,Suna Central,1,1,100
THARAGA BIDII 2,Suna Central,3,1,100
THARAGA BIDII 3,Suna Central,4,2,200
THAWABU,Kayole South,4,2,500
THE AMAZONS,East Kamagak,4,1,100
THE ARK SHG,Sarang'ombe,8,5,1000
THE BASE SHG,Sarang'ombe,21,2,2400
THE BLUES,East Gem,5,1,100
