Group Name,Ward,Total Member Count,Total_Members_Paid,Total_Amount_Paid
Achego,East Kamagak,8,1,100
Achievers ,Ngei,18,1,200
Achievers kilimani ,Kilimani,10,8,2400
Ack Junior,Kangemi,17,6,900
Adonai,Mlango Kubwa,16,6,600
Adonai Roysambu Group,Kahawa West,16,14,1600
Adonai Roysambu Group,Roysambu,16,1,100
Adonai SHG,Kwa Njenga,13,6,600
Adonai Vision,Nyayo Highrise,21,8,800
Adventures ,Mountain View,5,1,200
Affinity Teachers,Ngei,7,2,400
Afia SHG,Mountain View,10,3,500
African women,Mowlem,5,2,200
Afya Bora,Kangemi,21,7,1300
Agano Fresh SHG,Gatina,25,7,800
Agano la roho,Kabiro,5,1,100
Agape ,Nairobi South,20,12,1900
Agape Group,Nairobi South,1,1,100
Agape Group ,Mathare North,7,4,600
Agare A Kaloleni ,Makongeni,1,1,100
Agatha SHG,Kwa Njenga,9,3,300
Ageless A,Maringo/Hamza,18,3,600
Ageless B,Maringo/Hamza,16,3,500
Agemic CBO,Baba Dogo,43,6,1700
Agenya SHG,Korogocho,11,7,800
Agrocity,Karura,11,1,300
Ahadi ,Baba Dogo,10,8,800
Ahadi women,Gatina,19,10,1000
Aim higher ,Kwa Reuben,2,1,100
Ainu Shamsi,Kware,10,3,300
Aiswalaa,Airbase,2,1,200
Akili Ni Mali,Korogocho,35,14,2400
Al Amin,Kwa Reuben,14,5,500
Al Jowaher ,Makina,23,8,4800
Al Safaa,Kwa Njenga,15,10,2030
Al Safaa,Kware,15,1,100
Alabama SHG,Utalii,25,6,700
Alara,Central Kasipul,7,6,600
Alaska big 4,Maringo/Hamza,6,6,1800
Alego,Makongeni,8,4,800
Alego B,Makongeni,18,9,1900
Alego Tober,Hospital,32,21,2500
Alego Tober,Ngei,32,2,200
Alego Tober B,Hospital,13,9,1500
Alendo greens ,Kanyasa,10,5,500
Alendo rainbow ,Kanyasa,10,9,900
Alendo yellow,Got Kachola,1,1,300
Alex Nyawanga Inonda,Baba Dogo,1,1,400
Alfa,Kware,10,4,600
Alliance Table Banking,Gatina,13,12,1200
Aloete,Kabiro,21,5,1000
Alpha,Kwa Reuben,10,6,600
Alpha,Sarang'ombe,10,1,100
Alpha ,Gatina,18,17,1700
Alpha B,Kware,12,4,400
Alpha and Omega ,Mihango,2,1,300
Alswalaa,Kwa Njenga,7,3,500
Amani,California,7,6,600
Amani B Junior,Ngei,32,14,1400
Amani Gatina,Gatina,9,1,100
Amani Group,Kayole Central,9,1,100
Amani Ngomongo ,Korogocho,5,2,200
Amani Recyclers,Korogocho,4,1,100
Amani Stage Two,Gatina,17,6,800
Amani kwa chief,Huruma,5,4,400
Amani na upendo,Makongeni,15,4,400
Amani self help group ,Korogocho,11,8,900
Amazing,Eastleigh South,12,8,900
Amazing ,Kwa Njenga,10,7,900
Amazing Grace ,Mugumu-Ini,39,15,2000
Amazing Grace ,Nairobi South,39,2,600
Amazing SHG,Mutu-Ini,5,1,101
Ambil road ,Ngara,2,2,300
Ambira road ,Ngara,4,2,200
Ambition SHG,Karura,13,3,600
Ambitions Women,Mathare North,38,13,1800
Ambitions women ,Mathare North,1,1,100
Ambitious group,Githurai,6,1,200
Amboseli women,Gatina,17,9,900
Amka SHG,Kware,14,9,900
Amkeni,Kasarani,2,2,200
Amkeni SHG,Kariobangi North,12,8,800
Amua SHG,Baba Dogo,11,6,800
Amuka Kianda,Woodley,35,6,800
Amuka Twende,Gatina,3,2,200
Amusha Youth ,Kwa Njenga,9,2,300
Angel ,Kwa Reuben,14,5,500
Angel ,Kware,14,1,100
Angels of kangemi ,Maringo/Hamza,1,1,100
Angles of Kangemi,Kangemi,10,9,1050
Anjego  highway ,Kakrao,1,1,100
Anjego Highway Group,Kakrao,14,13,2100
Anmasy Bidii,Harambee,4,1,100
Anointed sisters,Makongeni,21,3,300
Anointed sisters,Viwandani,21,2,200
Another chance ,Kwa Reuben,6,2,200
Apex SHG,Imara Daima,18,9,1500
Aphyshad,Matopeni/Spring Valley,18,3,900
Apostolic,Kawangware,9,8,900
Area 2 togetherness,Mlango Kubwa,7,1,300
Area 4 Community ,Mathare North,11,4,500
Area 4 SHG,Hospital,12,12,1300
Arise,Kwa Reuben,8,2,200
Arise and Shine,Kangemi,27,12,1900
Arise and Shine Care Givers,Karura,38,4,400
Arise and shine,Mlango Kubwa,16,2,200
Arise and shine,Mugumu-Ini,16,3,300
Arise and shine Komarock,Komarock,1,1,300
As We Are,Landimawe,18,6,1800
Asante SHG,Kawangware,10,8,800
Asawo,Wasimbete,8,5,500
Aseco,Kabiro,8,6,600
Asembo Nyayo,Korogocho,18,4,900
Asis,California,10,2,200
Avenue ,Kwa Njenga,9,5,1000
Awesome Blessing,Pumwani,4,3,300
Awinja Test,Sarang'ombe,3,1,100
Awinja widows,Sarang'ombe,1,1,100
Ayany Parking ,Woodley,32,5,500
Azimio SHG,Gatina,17,9,1000
B.M.K MIXED A,South Kanyamkago,1,1,100
BAALIBAWO,Huruma,11,7,1100
BAD BUONG,West Seme,5,1,1
BADJOWI WOMEN,South Gem,3,1,100
BADNAM A,West Uyoma,4,1,100
BAGDAD TRADERS,South Gem,6,4,400
BAHATI,Huruma,9,5,1500
BAHATI SHG,Central Kasipul,10,4,500
BANA WOMEN SHG,Makina,17,12,2600
BANANA,East Asembo,16,9,1100
BANANA BRIGEDIER,Central Kamagambo,3,2,200
BANDA,South Kamagambo,2,2,300
BANDA WINNERS,South Kamagambo,4,3,300
BAR AGULU FARMERS,South East Alego,6,4,400
BAR AGULU MOYIE,South East Alego,6,2,200
BAR KANYANGO COPRATE A,Yimbo East,4,2,300
BAR KANYANGO COPRATE B,Yimbo East,5,2,200
BAR KANYANGO COPRATE C,Yimbo East,3,3,400
BAR KANYANGO COPRATE D,Yimbo East,8,4,500
BAR MBINGA A,East Gem,7,6,700
BAR NDEGE ECDE,East Ugenya,7,5,701
BAR ONINGE FC B,North Ugenya,6,5,500
BAR OTUNGLA SHG,South Gem,4,3,300
BARAKA,Central Kasipul,20,4,600
BARAKA,South Kamagambo,20,5,500
BARAKA,West Sakwa,20,5,1100
BARAKA BOOSTER,Awasi/Onjiko,6,1,1
BARAKA DADRFUR WOMEN SHG,Kariobangi North,22,4,600
BARAKA DEVELOPMENT,Lindi,21,10,3100
BARAKA KIANDA,Woodley,16,2,700
BARAKA SHG,Kobura,10,1,1
BARAKA WIDOWS,Central Sakwa,2,1,100
BARAKA WOMEN,Central Alego,14,4,400
BARAKA WOMEN,South Gem,14,4,400
BARAKA WOMEN,West Alego,14,4,400
BARDING MAENDELEO,South East Alego,18,7,1300
BARDING SHG,Lindi,26,10,1700
BARKO SHG,West Gem,4,3,2300
BARRACOM UNIT,South East Alego,6,5,500
BASALA ,Makina,8,3,800
BAZIMA LAZARO WOMEN GROUP,Sarang'ombe,28,13,2400
BE ALERT WIDOWS A,North Uyoma,2,1,100
BE SMART SHG,Laini Saba,6,4,700
BE-SMART,West Alego,6,3,300
BEACH LINE BODA BODA,West Karachuonyo,11,8,1000
BEAUTIFUL WOMEN,Kanyamwa Kologi,5,2,200
BEAUTY,North Kamagambo,1,1,100
BED GI CHIR,Ombeyi,7,1,1
BELIEVERS,Sigomere,13,4,500
BEMECATO,South Uyoma,6,5,500
BENCOLLINS,Ng'ando,10,3,800
BENJAMINA,Ng'ando,4,4,600
BER BANG TICH,East Kamagak,11,4,500
BER BIRO,Kabondo West,32,13,2250
BER BIRO,North Kamagambo,32,2,400
BER LILO,Siaya Township,2,2,200
BER NENO,North Kanyamkago,18,3,300
BER NENO,South East Nyakach,18,1,1
BER NENO,Wasweta Ii,18,1,100
BER NITIE,East Kamagambo,7,2,400
BER TIN,North Uyoma,7,4,400
BER YUDO TEK,East Kamagak,12,9,900
BEREANS,Waithaka,4,1,200
BERTIN NORTH UYOMA,South Uyoma,1,1,100
BEST EVER SAMANGA SHG,Kibiri,3,1,100
BEST GREAT ACHIEVERS,Kolwa East,16,1,200
BEST OF THE BEST,Sigomere,10,5,500
BET GI KWE,South East Alego,19,15,1500
BET OK MIYI,Siaya Township,32,9,1400
BETHANIA,Kagan,2,1,100
BETTY WINNIE TEST,Mlango Kubwa,2,2,200
BETTYMOGA,Karura,6,2,200
BEWIMA CARE,Ng'ando,3,1,100
BHUKUNGU WOMEN,Makina,10,2,200
BI MOS,East Ugenya,6,2,200
BI MOS MIGWENA,South Sakwa,9,7,700
BI MOS SHG,Central Alego,17,8,800
BI MOS SHG,South Gem,17,4,400
BI NE BER,Wangchieng,7,2,200
BIBLE TRUTH DARAJANI,Makina,14,5,1000
BIDII,Homa Bay Central,31,1,100
BIDII,West Alego,31,6,800
